,Rating,Title,Review
0,5.0,Excellent,"Very nice product, camera quality is just amazing everything seems too real.Phone is very fast.READ MORE"
1,5.0,Best in the market!,"Amazing picture quality, awesome design, mind blowing display and fabulous performance and specially very handy phoneREAD MORE"
2,5.0,Worth every penny,Amazing picture quality❤️👌🏼👌🏼READ MORE
3,5.0,Awesome,The Much BetterREAD MORE
4,5.0,Wonderful,"Amazing product, love the design and the feel is awesome Performance is very smooth.READ MORE"
5,5.0,Perfect product!,GoodREAD MORE
6,5.0,Best in the market!,"Excellent smart phone, Good battery backup and performance is very good, Good camera quality.READ MORE"
7,5.0,Highly recommended,UltimateREAD MORE
8,4.0,Good choice,Unboxing overall good experience 😊READ MORE
9,5.0,Must buy!,Just awesome....❤️🙌😌Display Camera Battery Processor....JUST WOW....✨💗☺️READ MORE
10,5.0,Best in the market!,Performance is really good and camera quality is fineREAD MORE
11,5.0,Just wow!,I used iPhone 12 mini and now upgraded with iPhone 14. Camera quality is awesome.Full day battery backup.Super Retina display with high dynamic range is awesome.In terms of camera and battery life is big upgrade for me.READ MORE
12,4.0,Good quality product,Nice look badiya phone after one year use great workingREAD MORE
13,5.0,Just wow!,Amazing!pictures...📸 everything good 😍READ MORE
14,5.0,Mind-blowing purchase,Amazing device for daily life about camera about sound quality all are goodREAD MORE
15,5.0,Perfect product!,Super camera.READ MORE
16,5.0,Terrific,Iphone 14 Nothing to say about it.... too Fast to furious... thank you Flipkart 👍READ MORE
17,5.0,Mind-blowing purchase,Just perfect!!READ MORE
18,5.0,Terrific purchase,Just wow😍😘READ MORE
19,5.0,Terrific purchase,Camera cinematic next level🔥🔥READ MORE
20,5.0,Simply awesome,Loved it 👍READ MORE
21,5.0,Must buy!,After a losts of efforts when you get then Just Awesome 😊READ MORE
22,5.0,Mind-blowing purchase,Excellent camera 😍READ MORE
23,5.0,Classy product,Very attractive Must buyLove It❤️❤️READ MORE
24,5.0,Classy product,Camera is superb.nice phoneREAD MORE
25,5.0,Must buy!,"Just awesome!!I switch to iPhone 14 from iPhone 12. The powerful chipset gives you smooth performance. No lags, no fancy UI, just delivers the best of it. Camera is best. Battery giving a full day. Speaker sounds wide and clear. Must buy!!READ MORE"
26,5.0,Wonderful,Excellent Product 🥳READ MORE
27,5.0,Brilliant,Awesome phone with amazing featuresREAD MORE
28,5.0,Super!,Great picture quality. Performance is good as always. The important addition is the cinematographic video recordingREAD MORE
